Topic_Word_Rank,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
Word_1,people,models,art,news,humans,people,people,sam
Word_2,it’s,human,data,fake,energy,internet,world,questions
Word_3,human,humanity,artists,real,people,time,sam,altman
Word_4,time,technology,human,video,intelligence,world,god,talk
Word_5,humans,data,people,media,power,real,guy,interview
Word_6,money,agi,artist,people,human,bad,life,interviewer
Word_7,technology,systems,training,videos,change,stop,altman,ted
Word_8,understand,safety,copyright,generated,life,humans,love,chris
Word_9,company,society,model,nbc,create,control,question,question
Word_10,don’t,change,models,trump,carbon,white,earth,answer
